"x","y"
50.0,0
50.0,0
50.0,0
50.0,0
50.0,0
50.0,1
50.0,0
52.0,0
52.0,1
52.0,0
52.0,1
52.0,0
52.0,0
52.0,0
52.0,1
52.0,0
52.0,0
52.0,0
52.0,0
52.0,0
54.0,1
54.0,1
54.0,1
54.0,1
54.0,0
54.0,0
54.0,1
54.0,0
54.0,1
54.0,0
54.0,0
54.0,1
56.0,0
56.0,1
56.0,0
56.0,1
56.0,0
56.0,1
56.0,0
56.0,1
56.0,1
56.0,0
56.0,0
56.0,0
58.0,0
58.0,0
58.0,1
58.0,0
58.0,1
58.0,0
58.0,0
58.0,1
58.0,0
58.0,0
58.0,1
58.0,0
60.0,1
60.0,1
60.0,1
60.0,1
60.0,0
60.0,0
60.0,1
60.0,0
60.0,1
60.0,0
60.0,0
62.0,0
62.0,0
62.0,1
62.0,1
62.0,1
62.0,1
62.0,1
62.0,0
62.0,0
62.0,0
62.0,0
64.0,0
64.0,0
64.0,0
64.0,0
64.0,0
64.0,0
64.0,0
64.0,0
64.0,0
64.0,1
66.0,1
66.0,0
66.0,0
66.0,1
66.0,0
66.0,1
66.0,0
66.0,1
66.0,0
66.0,0
68.0,0
68.0,0
68.0,1
68.0,0
68.0,0
68.0,0
68.0,0
68.0,1
68.0,0
68.0,1
70.0,0
70.0,0
70.0,0
70.0,0
70.0,1
70.0,0
70.0,0
70.0,1
70.0,0
72.0,0
72.0,0
72.0,1
72.0,1
72.0,0
72.0,0
72.0,0
72.0,0
72.0,0
72.0,0
74.0,1
74.0,0
74.0,0
74.0,1
74.0,1
74.0,1
74.0,0
74.0,1
74.0,0
76.0,1
76.0,0
76.0,1
76.0,1
76.0,0
76.0,0
76.0,0
76.0,0
78.0,0
78.0,1
78.0,0
78.0,0
78.0,0
78.0,0
78.0,0
78.0,0
78.0,0
80.0,0
80.0,0
80.0,0
80.0,1
80.0,0
80.0,1
80.0,0
80.0,1
82.0,0
82.0,0
82.0,0
82.0,0
82.0,0
82.0,1
82.0,0
82.0,1
82.0,0
84.0,0
84.0,0
84.0,0
84.0,1
84.0,0
84.0,0
84.0,1
86.0,0
86.0,1
86.0,0
86.0,0
86.0,1
86.0,1
86.0,0
86.0,0
88.0,0
88.0,0
88.0,1
88.0,0
88.0,1
88.0,0
88.0,1
88.0,0
90.0,0
90.0,1
90.0,0
90.0,0
90.0,1
90.0,0
90.0,0
92.0,1
92.0,0
92.0,1
92.0,0
92.0,0
92.0,0
92.0,1
94.0,0
94.0,0
94.0,0
94.0,0
94.0,0
94.0,0
94.0,0
94.0,0
96.0,0
96.0,0
96.0,0
96.0,0
96.0,0
96.0,1
98.0,1
98.0,0
98.0,0
98.0,1
98.0,0
98.0,0
98.0,0
100.0,0
100.0,0
100.0,0
100.0,0
100.0,0
100.0,1
100.0,0
102.0,1
102.0,1
102.0,0
102.0,0
102.0,0
102.0,0
102.0,0
104.0,1
104.0,0
104.0,1
104.0,1
104.0,1
104.0,1
106.0,0
106.0,0
106.0,0
106.0,0
106.0,1
106.0,0
108.0,0
108.0,0
108.0,0
108.0,0
108.0,1
108.0,1
110.0,0
110.0,1
110.0,0
110.0,1
110.0,1
110.0,0
112.0,0
112.0,1
112.0,1
112.0,0
112.0,0
112.0,0
114.0,0
114.0,0
114.0,0
114.0,0
114.0,1
114.0,1
116.0,0
116.0,1
116.0,1
116.0,0
116.0,0
116.0,1
118.0,0
118.0,1
118.0,0
118.0,0
118.0,0
118.0,1
120.0,0
120.0,1
120.0,0
120.0,0
120.0,0
122.0,0
122.0,0
122.0,0
122.0,1
122.0,0
122.0,0
124.0,0
124.0,1
124.0,1
124.0,0
124.0,1
126.0,0
126.0,0
126.0,1
126.0,1
126.0,1
128.0,0
128.0,0
128.0,0
128.0,0
128.0,0
128.0,1
130.0,1
130.0,0
130.0,1
130.0,0
130.0,1
132.0,1
132.0,1
132.0,0
132.0,0
132.0,1
134.0,1
134.0,0
134.0,1
134.0,0
134.0,1
136.0,1
136.0,1
136.0,1
136.0,1
136.0,1
138.0,1
138.0,1
138.0,0
138.0,1
140.0,0
140.0,1
140.0,1
140.0,1
140.0,0
142.0,0
142.0,0
142.0,0
142.0,0
142.0,0
144.0,1
144.0,1
144.0,1
144.0,1
144.0,1
146.0,0
146.0,1
146.0,1
146.0,1
148.0,1
148.0,0
148.0,0
148.0,1
148.0,1
150.0,0
150.0,0
150.0,0
150.0,1
152.0,0
152.0,0
152.0,0
152.0,1
154.0,1
154.0,1
154.0,0
154.0,0
154.0,0
156.0,0
156.0,0
156.0,0
156.0,1
158.0,0
158.0,1
158.0,1
158.0,1
160.0,1
160.0,1
160.0,0
160.0,1
162.0,0
162.0,1
162.0,0
162.0,0
162.0,0
164.0,0
164.0,1
164.0,0
164.0,1
166.0,1
166.0,0
166.0,0
